"Zeitstempel","meine Nutzer-ID:","hier habe ich das Pedal genutzt:","Heute ist ","01","02","03","04","05","06","07","08","09","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","Dafür habe ich die Pedale heute genutzt:","Das ist mir dabei aufgefallen:","*Platz für weitere Gedanken*"
"2024/10/03 2:59:23 PM MEZ","003","daheim / Homeoffice","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","debugging (print statements), zurück/vor im Browser ","heute nicht so viel genutzt weil wenig am Laptop, aber neue Belegung vielversprechender, da zusätzliche Funktion, statt Funktion, die ich bereits anders nutze einfach aufs Pedal zu legen. (vor/zurück im Browser sonst bisher nur genutzt, wenn ich eine Maus mit Seitentasten hatte -> ohne Maus diese funktion bisher nicht genutzt, jetzt mit dem Pedal schon -> vielversprechend obwohl heute wenig genutzt. bei ""print"" statements genauso - hätte es hier auch cool gefunden, wenn ich auch klammern gleich mit eingeben könnte (ist bisher nicht verfügbar, oder ichs habs übersehen?))",""
"2024/10/03 5:15:49 PM MEZ","002","daheim / Homeoffice;Büro","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","alt+tab, ctrl+shift+7, ctrl+s","Ich hatte schon das Gefühl, dass ich mich immer mehr dran gewöhne, da ich heut auch genau die gleichen wie gestern weiter benutzt habe.","In den Zeiten, in denen ich meine Füße in der Nähe der Pedale hatte, fand ich es heute manchmal wirklich cool zu nutzen. Aber ich sitze einfach auch immer noch oft mit den Füßen auf dem Stuhl oder mit gekreuzten Beinen da.
Und manchmal bin ich auf das falsche Pedal, weil ich meinen Fuß vorher nicht in der Nähe hatte"
"2024/10/04 12:34:20 PM MEZ","001","Büro","Tag 5 (Freitag)","6","7","2","2","3","5","5","6","3","1","5","3","6","4","6","5","2","1","2","6","1","7","1","3","3","","Wie in den letzten Tagen. Keine neue Belegung. Für die Aufgaben diese Woche hat das gut gepasst - für andere Aufgaben (z.B. mehr Paper lesen oder schreiben) wären vermutlich andere Kombinationen besser gewesen.","Wie gestern: Musste mehrmals die Füße vom Stuhl nehmen, um dann die Pedale zu nutzen. Habe aber immer weniger ""angestrengt"" daran denken müssen.",""
"2024/10/04 1:40:11 PM MEZ","002","Büro","Tag 5 (Freitag)","6","5","2","3","3","5","6","5","4","2","6","3","5","5","6","5","3","4","3","5","5","5","5","3","3","","alt+tab, ctrl+shift+7, ctrl+s","Ich glaube, ich hab sie heute weniger genutzt, aber mehr aus schlechter Laune bedingten Sitzpositionen (noch weniger die Füße am Boden)","an sich finde ich es schon eine coole Sache, glaube aber, dass es echt ne Zeit brauchen würde, dass man es wirklich drin hat. Vielleicht ist dafür ein festes Setup mit Rechner und Bildschirm geeigneter, weil da mehr alles immer am gleichen Platz bleibt"
"2024/10/04 1:52:16 PM MEZ","003","Büro","Tag 5 (Freitag)","6","7","2","3","2","5","6","7","3","3","6","3","7","5","4","5","4","2","2","5","3","6","2","2","2","","debugging (print statements)","hab das pedal öfter genutzt als noch zu beginn der woche, anwendungsfall für mich besser",""
"2024/10/07 6:11:27 PM MEZ","005","daheim / Homeoffice","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Abschicken von Nachrichten (Discord, WhatsApp), Eingabe (statt auf ""okay"" drücken das Fußpedal genutzt), Nutzung von Spotify (Tracks weiterschalten, Play/Pause), YouTube-Videos pausieren/weiterspielen","Bisher noch nichts auffallendes passiert... Ich nutze die Enter-Taste auf der Tastatur noch am meisten. Enter auf dem Pedal nur bei Eingaben/Abschicken","Hab mich ein paar Mal vertreten und mich gewundert, warum das Lied nicht weiterschaltet (nächster Track liegt auf Mitte), dabei hab ich die ganze Zeit Enter (rechtes Pedal) gedrückt. Wird schon noch"
"2024/10/07 6:30:23 PM MEZ","006","Büro","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Für Literaturrecherche und in einem Textverarbeitungsprogramm: Zuerst als Ersatz für die Maus, dann als Ergänzung zur Maus mit Tastenkürzel für Kopieren, Einfügen und Zurück ","Langer Tastendruck für die Maustasten gingen nicht","Gute Ergänzung bei Arbeitsschritte, bei denen neben der Maus nur einzelne Tastenkürzel benötigt werden "
"2024/10/07 7:40:57 PM MEZ","004","unterwegs","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Shortcuts in Visual Studio (Such&Replacement)","Die Pedale lassen sich einfach bedienen, man muss sich noch selbst an die Funktion erinnern, da die Bewegung noch ungewoht ist",""
"2024/10/08 3:47:17 PM MEZ","006","Büro","Tag 2 (Dienstag)","6","7","3","2","2","5","5","7","1","2","6","2","7","5","6","6","1","3","2","6","1","5","2","3","2","6","Wie gestern als Ergänzung zur Maus um die Tastatur-Shortcuts für Kopiere und Einfügen zu verwenden. Nachdem ich bemerkt habe, dass ich das Markieren von ganzen Textblöcken zusätzlich benötige, habe ich das dritte Pedal mit strg+a belegt","Die Pedale haben mir eine angenehmere Sitzposition ermöglicht, da ich mich nicht vorbeugen musste, um die Tastatur zu verwenden, und nur entspannt mit einer Hand die Maus bedienen konnte","Beim Wechsel zu Arbeitsschritten, bei denen ich die shortcuts nicht benötigte, habe ich schnell die Sitzposition geändert und die Füße nicht mehr bei den Pedalen gelassen. An den Wechsel zurück zu den Pedalen habe ich mich erst erinnert, als ich meine belegten Shortcuts einige Male an der Tastatur verwendet habe"
"2024/10/08 8:49:23 PM MEZ","005","daheim / Homeoffice","Tag 2 (Dienstag)","6","6","2","1","4","5","5","6","2","4","6","2","7","4","7","6","2","4","2","6","2","4","3","3","3","6","Musik hören neben arbeiten, Videos starten/pausieren/weiterschalten, Eingaben in Excel"," Die Funktion Start/Pause funktioniert bei Spotify, YouTube, ARD/ZDF Mediathek, Prime, aber nicht bei Netflix (hab heute nicht alles genutzt im Sinne von überall längere Zeit verbringen, einiges auch nur probiert, um zu schauen, ob's funktioniert)","Schön langsam hab ich mich dran gewohnt, nur das mit Enter geht immer noch schneller auf der Tastatur :)"
"2024/10/08 9:20:56 PM MEZ","004","daheim / Homeoffice","Tag 2 (Dienstag)","5","7","3","1","3","4","6","4","3","2","5","2","6","4","5","5","3","4","4","5","2","5","2","3","2","5","Suchshortcut und Kommentiershortcuts in Visual Studio (benötigt 4 Tastendrücke)","Das Drücken der Kommentiershortcuts geht nun deutlich leichter, da es ein Druck statt 4 Tasten sind.","Es wäre interessant, wenn man Profile anlegen könnte um so schneller die Tastenzuweißungen in den Pedalen ändern zu können."
"2024/10/09 4:00:00 PM MEZ","006","Büro","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","Wie gestern (Shortcuts) und dazwischen für die Audiosteuerung (lauter, leiser, Pause/Play)","Die Audiosteuerung war eine praktische Ergänzung zur Tastatur, während ich mir Notizen zu Videos gemacht habe - sicherlich auch eine nützliche Ergänzung für die Transkribierung von Audios.","Ich habe mich schon sehr an die Verwendung der Pedale für Shortcuts gewöhnt und habe auch schnell wieder die Belegung nach der Audiosteuerung zurückgeändert.
"
"2024/10/09 6:29:39 PM MEZ","005","daheim / Homeoffice","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","Musik Play/Pause/weiterschalten, Videos Play/Pause, Enter: Text schreiben Absatz, Eingaben","Eigentlich nix","Ich nutze immer noch Enter auf der Tastatur am meisten, mit Pedal nur, wenn ich dran denke. Wüsste aber grad auch nicht, welche andere Funktion ich da drauf legen soll..."
"2024/10/09 8:20:23 PM MEZ","004","daheim / Homeoffice","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","Suchfunktion, Kommentierfunktion in VS","Es ist deutlich leichter die Pedale zu nutzen und man benutzt diese auch unterbewusster, es ist kein aktives Suchen der Pedale mehr nötig",""
"2024/10/10 3:16:32 PM MEZ","006","Büro","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Wie gestern: Beim Arbeiten mit Texten Tastenkürzel für Kopieren, Einfügen, alles Markieren","Ich habe mich auf alle Fälle an die Nutzung der Pedale gewöhnt und sogar dann verwendet, wenn ich eigentlich auch mit den Händen an der Tastatur war und die Tastenkürzel hätte verwenden können",""
"2024/10/10 6:19:53 PM MEZ","005","daheim / Homeoffice","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Videos und Musik starten/pausieren, für Absätze in Text","Heute eigentlich nix","Könnte mich echt an die Optionen play/pause und nexttrack gewöhnen"
"2024/10/10 10:23:43 PM MEZ","004","daheim / Homeoffice","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Primär die Suchfunktion, weniger die Kommentierfunktion (Heute war primär Telefonkonfernzen & Docs lesen, weniger Code schreiben, daher waren die Pedale auch weniger im Einsatz)","Ich würde sagen es entwickelt sich eine Art Routine, bevor ich jetzt wieder überlegen muss wie die Kommentierfunktion geht, drücke ich entweder das mittlere (Kommentieren) oder rechte Pedal (Entkommentieren). Ich denke für komplexe Shortcuts die man häufiger am Tag benutzt kann das Pedal Anwendung finden.",""
"2024/10/11 1:51:27 PM MEZ","005","daheim / Homeoffice","Tag 5 (Freitag)","6","6","2","1","2","6","6","4","2","4","6","1","6","4","6","6","2","4","2","6","2","4","2","2","2","6","Nur sehr weniges. Videos play/pause, Eingaben mit Enter","Nichts :)","Schade, dass ich die Pedale wieder abgeben muss"
"2024/10/11 3:02:53 PM MEZ","006","Büro","Tag 5 (Freitag)","6","7","2","1","2","6","6","6","2","2","7","1","6","5","6","7","1","2","1","6","1","5","2","2","2","6","Zuerst wie an den letzten Tagen, um die Maus mit den Shortcuts der Tastatur zu ergänzen. Zum lesen von PDF-Dokumenten habe ich dann einige neue Belegungen ausprobiert, um die Steuerung im PDF zu erleichtern (Pfeiltasten oben, unten, links, rechts).","Die Pfeiltasten nach oben und unten waren für das weiterscrollen im PDF nicht geeignet, aber bei Vollbildansicht waren die Pfeiltasten nach rechts und links sehr hilfreich und haben es mir ermöglicht, mich mit freien Händen und entspannter Körperhaltung auf das Dokument zu konzentrieren und parallel handschriftliche Notizen zu machen. Sicherlich auch eine gute Funktion für die Präsentation von Powerpoint-Folien.","Leider habe ich es versäumt danach wieder auf die Belegung mit den Shortcuts zu wechseln, obwohl diese bei meiner weiteren Arbeit hilfreich gewesen wäre - vielleicht wäre ein Schnellwechsel zwischen vorgefertigten Pedalbelegungen (angepasst an verschiedene Programme/Arbeitsschritte) eine gute Ergänzung."
"2024/10/11 5:24:28 PM MEZ","004","daheim / Homeoffice","Tag 5 (Freitag)","6","7","2","1","2","5","6","4","3","4","6","1","7","5","5","7","1","4","2","6","1","7","1","2","2","5","Suchfunktion und Kommentierfunktion in VS","Mittlerweile wissen meine Füße sicher wo welche Taste ist, ein daneben tretten gibt es so nicht mehr. Es hat deutlich Aufgaben erleichtert.","Im Gegensatz zu meinen Erwartungen habe ich die Pedale tatsächlich viel benutzen können und es hat den Arbeitsalltag erleichter. Ich frage mich nun warum ich meine 5 Multifunktionstasten auf der Tastertur nicht wirklich verwende, bzw nur eine der 5. Liegt es daran dass die Pedale griffiger sind (Von einem Teil des Körpers gesteuert werden der sonst keine Aufgabe hat) oder ich noch nie über eine sinvolle Benutzung dieser Tasten nach gedacht habe? Es könnte auch sein, dass diese Tasten nicht wirklich handlich sind."
"2024/10/14 3:40:20 PM MEZ","008","Büro","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Labbling KI-Trainingsdaten, Paper Research","Viel benötigte Tastenkombinationen sind super auf den Pedalen.","Eine automatische addaptive Belegung der Tasten je nach Aufgabe wäre mega cool."
"2024/10/14 4:36:26 PM MEZ","009","Büro","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Neue Tabs, rückgängig, Google Scholar shortcut, Im Browser zurück navigieren","Manchmal habe ich dabei nicht die Fußtasten verwendet (v.a. für Strg+t); es fiel mir nicht leicht geeignete Schortcuts zu finden, aber ich glaube jetzt hab ich zwei Gute =)",""
"2024/10/14 6:32:44 PM MEZ","007","Büro","Tag 1 (Montag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Ich habe gleich am Anfang Alt-Tab auf das linke Pedal gelegt um schnell zwischen zwei Fenstern zu wechseln und Enter auf das rechte. Gegen Mittag habe ich dazu noch Strg-Tab auf das mittlere Pedal gelegt, um in Firefox schnell zwischen Tabs zu wechseln. Mit diesem Setup habe ich am Vormittag Daten ausgewertet und am Nachmittag an einem wissenschaftlichen Literaturüberblick gearbeitet."," - Ich habe meine Sitzhaltung am Anfang so eingenommen, dass meine Füße auf den Pedalen waren. Mir war am Anfang unklar, wie viel Druck die Pedale brauchen, um auszulösen. Deshalb habe ich meine Füße nicht richtig abgestellt und ein wenig Muskelspannung aufgebaut, damit ihr Gewicht nicht auf dem Pedal lastet.
- Die Pedale brauchen im Vergleich zu einer Tastatur viel mehr Kraft und eine weitere Bewegung der Füße, um gedrückt zu werden. Das Gefühl ist komplett anders.
- Ich bin irgendwann dazu übergegangen, die Pedale bis kurz vor den Druckpunkt durchzudrücken. Einerseits konnte ich dann das Gewicht meiner Füße komplett auf die Pedale verlagern und andererseits war es einfacher, die Pedale auszulösen.
- Es fühlt sich am natürlichsten an, die Füße auf dem linken und dem rechten Pedal zu haben. Immer wenn man das mittlere Pedal drückt, muss man die Füße verstellen.
- Irgendwann habe ich die Füße für längere Zeit von den Pedalen genommen und eine Sitzhaltung eingenommen, die natürlicher ist. Teilweise hatte ich den Fuß auch nur auf dem linken Pedal.
- Ich nutze Alt-Tab relativ häufig, deswegen habe ich auch oft die Tastenkombination auf der Tastatur gedrückt statt auf dem Pedal, einfach aus Muscle Memory. Es geht auch viel schneller als mit dem Pedal. Wenn ich das Pedal für Alt-Tab verwendet habe, dann häufig bewusst, weil ich die Pedale verwenden wollte. Allerdings habe ich das Alt-Tab-Pedal mit der Zeit auch immer wieder automatisch verwendet. Von allen Pedalen war das wahrscheinlich das meistgenutzte.
 - Im Gegensatz zu Alt-Tab nehme ich Strg-Tab normalerweise gar nicht her, ich habe extra nachschauen müssen, was der Shortcut dafür eigentlich ist. Das Pedal war dafür eigentlich ziemlich nutzlos, weil ich sehr viel mehr Tabs offen hatte als Fenster. Mit dem Fuß sich durchzuklicken hat ewig gedauert, und das Pedal gedrückt zu halten war extrem unpräzise. Ich habe das Pedal dafür nicht wirklich genutzt. Allerdings habe ich irgendwann gemerkt, dass Strg-Shift-Tab einen Tab zurückgeht. Dadurch, dass Strg und Tab schon auf dem Pedal lagen, musste ich auf der Tastatur nur noch Shift drücken, um zwischen Vorwärts und Rückwärts zu wechseln. Das fand ich sehr angenehm. Viel besser, als irgendwie alle drei Tasten gleichzeitig zu drücken.
- Enter war nutzlos. Ich habe fast immer Enter auf der Tastatur gedrückt, wenn ich einen neuen Absatz machen wollte. Die Pedale eignen sich nicht wirklich für etwas, was man so häufig braucht, und die Muscle Memory, für einen neuen Absatz mit dem kleinen Finger auf Enter rüberzulangen, ist viel zu stark. Wenn ich bei Text oder Code Enter mit dem Pedal eingegeben habe, war das meist ein Versehen oder um zu schauen, ob das Pedal noch geht.
- Ich habe das Enter-Pedal manchmal auch zur Bestätigung bei einer Anmeldung oder einer Suche im Browser verwendet und muss sagen, dass sich das ziemlich richtig angefühlt hat. Die Pedale zu drücken fühlt sich so viel involvierter an als bei einer Taste, und so eine Aktion die sich bedeutend anfühlt und nach der sowieso kurz geladen werden muss fühlt sich genau richtig ","Ich hab ausprobiert, ob man ganze Wörter auf das Pedal legen kann. Ich weiß allerdings auch nicht, wozu das nützlich sein könnte."
"2024/10/15 4:16:47 PM MEZ","008","Büro","Tag 2 (Dienstag)","7","7","3","1","2","5","5","6","2","3","6","2","7","6","5","5","2","2","1","5","2","5","1","2","1","5","Paper research, Musik weiterschalten","über remote desktop auf ein linux system funktionierts nicht, sonst hätte ich auch noch damit gecodet",""
"2024/10/15 5:31:17 PM MEZ","007","Büro","Tag 2 (Dienstag)","3","4","4","2","4","3","5","2","6","4","4","4","6","4","3","4","2","4","3","2","3","3","4","4","4","3","Hauptsächlich zum Wechsel zwischen Fenster. Ich habe auch zwischenzeitlich > auf das Pedal gelegt, weil man für dieses Zeichen auf meiner Tastatur Fn+Shift+L drücken muss, was immer sehr umständlich ist.
Ich habe danach Enter zur Bestätigung von Eingaben auf das Pedal gelegt, aber vergessen, es zu benutzen.
Zwischenzeitlich habe ich mit LMB experimentiert, fand das aber dann aber zu unberechenbar. Hab die Tastenbelegung schnell wieder geändert.

Für eine Zeichenanwendung im Browser wollte ich eigentlich die Hotkeys A (neuer Pfeil) und N (neues Post-It) auf das Pedal legen, das hat dann aber aus irgendeinem Grund nicht funktioniert.","Ich bin mit der Zeit dazu übergegangen, das Fenster mit dem Pedal zu wechseln. Ich musste immer wieder zwischen dem Browser und Zotero wechseln und habe dafür immer mal wieder ohne nachzudenken das Pedal benutzt.
Die Pedale fühlen sich ziemlich scheiße für Texteingabe an.
Ich hatte nie das Gefühl, eine Haltung zu finden, in der ich die Beine auf dem Pedal hatte und gleichzeitig einen guten Abstand zum Tisch einnehmen konnte.
Es ist angenehmer, nur einen Fuß auf einem Pedal zu haben.","Es fühlt sich immer wie eine Menge Arbeit an, das Pedal durchzudrücken."
"2024/10/15 5:56:30 PM MEZ","009","Büro","Tag 2 (Dienstag)","5","7","3","2","3","5","5","7","2","3","5","3","7","4","5","4","2","2","1","4","1","5","1","3","2","5","Keine Änderung der Tastenbelegung, also: Rückgängig, Navigation zurück im Browser, neuer Tab","Bekannte Tastenkombinationen benutze ich weiterhin oftmals auf der Tastatur. Besser wären vielleicht Tastenkombinationen, die man sonst eher nicht nutzen würde. Da hatte ich aber heute keine gute Idee...","Ich hab gestern vergessen zu erwähnen: Kurzzeitig hatte ich Shift+Enter zum Ausführen von Zellen in Jupyter im Einsatz, das hat sich aber nicht durchgesetzt. Meine Sitzhaltung ist oft suboptimal für die Benutzung der Fußschalter. Häufig hab ich mindestens einen Fuß auf dem Stuhl."
"2024/10/16 3:46:23 PM MEZ","008","Büro","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","nicht viel, bisschen web research","hab die pedale heute zu wenig benutzt, weil ich wenig am schreibtisch war, oder über remote desktop auf einem linux rechner und da gehen sie ja nicht. tzorry",""
"2024/10/16 4:32:15 PM MEZ","007","Büro","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","Ich habe Alt-Tab auf dem linken Pedal beibehalten und auf das rechte und das mittlere Cut und Paste bzw. Copy und Paste gelegt. Mit diesem Setup habe ich dann im Browser mein Dokument weitergeschrieben. Kurzzeitig habe ich Strg-Z und Strg-Y draufgelegt und das schnell wieder geändert.","Es ist fast schon normal für mich geworden, mit dem linken Pedal das Fenster zu wechseln. Ich merke, dass ich das für alle Situationen hernehmen will, wenn ich von einem Inhalt zum anderen wechseln will, d.h. auch zwischen Tabs im Browser und in Zotero. 
Cut und Paste hat mit statischen Dokumenten nicht funktioniert, deswegen habe ich copy und paste auf die Pedale gelegt. Das war situationsbedingt ganz nützlich, da musste ich aber dann auch bewusst die Pedale und nicht die Tastenkürzel verwenden. Mit dem Alt-Tab-Pedal hat das allerdings auch dazu geführt, dass ich bei manchen Usecases komplett mit den Pedalen arbeiten konnte, also Kopieren -> Fenster wechseln -> Einfügen. Das hatte eine gewisse hedonische Qualität. Könnte ich gerne öfter machen.
Ich habe mittlerweile auch eine Sitzposition gefunden, die für mich funktioniert, indem ich die Pedale weiter zurück gestellt habe. Zwischenzeitlich kam es zu Problemen, weil ein Kabel im mittleren Pedal eingeklemmt war und ich es deswegen nicht mehr herunterdrücken. ","Wenn du oder irgendwer weiter mit den Pedalen arbeitet, macht bitte eine kabellose Version. "
"2024/10/16 5:31:16 PM MEZ","009","Büro","Tag 3 (Mittwoch)","","","","","","","","","","","","","","","","","","","","","","","","","","","Mapping hat sich nicht verändert; Rückgängig, Webseite zurück und neuer Tab","Keine neuen Erkentnisse bedingt auch durch kürzere Zeit am Rechner.","Heute hab ich sehr viel nicht bzw. kaum am Rechner gearbeitet, daher kam die erste Nutzung erst gegen Abend."
"2024/10/17 3:07:56 PM MEZ","007","Büro","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Im Endeffekt genauso wie am Vortag. Habe auch an den Mappings nichts verändert, nur die Position der anderen zwei Shortcuts so verändert, dass es sich natürlicher anfühlt.","Das Pedal ist mittlerweile mein bevorzugter Weg, um zwischen Fenstern hin- und herzuspringen, und ich muss nicht mehr bewusst darüber nachdenken. Copy und Paste auch exklusiv über das Pedal genutzt, denke aber nicht, dass das schneller ist. 
Das Pedal fühlt sich manchmal unresponsiv an. Ich habe auch das Gefühl, dass es knarzt. Kabel und andere Dinge, die unter dem Tisch liegen, werden sehr einfach eingeklemmt.",""
"2024/10/17 5:50:04 PM MEZ","009","Büro","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","Einzige Änderung zum Vortag: Windows Tabübersicht auf linkem Pedal; sonst im Browser zurück und neuer Tab","Für bestimmte repititive Aufgaben, ist es sehr praktisch eine Fußtaste zu haben. Die Nutzung kommt daher wahrscheinlich oft gehäuft vor.
Die Tabübersicht war ein Versuch einen anderen Arbeitsablauf zu nutzen. Da wäre aber vermutlich etwas mehr Zeit nötig, um sich daran zu gewöhnen.",""
"2024/10/17 9:25:08 PM MEZ","008","Büro","Tag 4 (Donnerstag)","","","","","","","","","","","","","","","","","","","","","","","","","","","paper research","win + irgendwas ist auch ein short cut",""
